trial,marker_x,marker_y,bearing_deg,occluded,first_seen_s,reached,time_to_reach_s,final_range_m,path_length_m,search_time_s,align_time_s,approach_time_s
1,1.732,0.3,9.8,0,0.10,1,8.00,0.679,1.077,0.20,0.50,7.30
2,0.493,1.749,74.2,0,,0,,3.112,0.034,60.00,0.00,0.00
3,-0.325,1.856,99.9,0,,1,0.30,0.120,0.000,0.30,0.00,0.00
3,-0.325,1.856,99.9,0,,1,0.10,0.120,0.000,0.10,0.00,0.00
3,-0.325,1.856,99.9,0,3.80,1,13.20,0.686,1.202,3.90,1.20,8.10
4,-0.998,0.151,171.4,0,,0,,3.104,0.034,60.00,0.00,0.00
5,-1.142,-0.083,-175.8,0,8.90,1,13.30,0.699,0.455,9.00,1.20,3.10
6,-0.228,-1.892,-96.9,0,,0,,3.155,0.034,60.00,0.00,0.00
7,1.241,-1.688,-53.7,0,16.10,1,26.90,0.667,1.418,16.20,1.20,9.50
8,2.298,-0.876,-20.9,0,0.00,1,13.00,0.695,1.771,0.10,1.00,11.90
9,1.421,1.552,47.5,1,,0,,3.101,0.034,60.00,0.00,0.00
10,-1.784,-1.751,-135.5,1,,0,,3.101,0.034,60.00,0.00,0.00
